;;;Obra;Bancos;;;B.D.I.;;;Encargos Sociais;;;
 1.3.2 ; 94965 ;SINAPI;CONCRETO FCK = 25MPA, TRAÇO 1:2,3:2,7 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021;m³;5,3;740,54;74,24;666,30;740,54;393,47;3.531,39;3.924,86;3,10 %
 1.3.3 ; 96532 ;SINAPI;FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA SAPATA, EM MADEIRA SERRADA, E=25 MM, 2 UTILIZAÇÕES. AF_01/2024;m²;17,8;185,44;106,86;78,58;185,44;1.902,10;1.398,73;3.300,83;2,61 %
 2 ;;;Térreo;;;;;;;;;53.217,60;42,05 %
 2.1 ;;;Vigas;;;;;;;;;25.399,51;20,07 %
 2.1.1 ; 92761 ;SINAPI;ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 8,0 MM - MONTAGEM. AF_06/2022;KG;584,3;15,05;1,94;13,11;15,05;1.133,54;7.660,17;8.793,71;6,95 %
 2.1.2 ; 94965 ;SINAPI;CONCRETO FCK = 25MPA, TRAÇO 1:2,3:2,7 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021;m³;9,8;740,54;74,24;666,30;740,54;727,55;6.529,74;7.257,29;5,73 %
 2.1.3 ; 96533 ;SINAPI;FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA VIGA BALDRAME, EM MADEIRA SERRADA, E=25 MM, 2 UTILIZAÇÕES. AF_01/2024;m²;100,5;93,02;42,37;50,65;93,02;4.258,18;5.090,33;9.348,51;7,39 %
 2.2 ;;;Pilares;;;;;;;;;20.617,97;16,29 %
 2.2.1 ; 92763 ;SINAPI;ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 12,5 MM - MONTAGEM. AF_06/2022;KG;341,2;11,33;0,80;10,53;11,33;272,96;3.592,83;3.865,79;3,05 %
 2.2.2 ; 94965 ;SINAPI;CONCRETO FCK = 25MPA, TRAÇO 1:2,3:2,7 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021;m³;3,6;740,54;74,24;666,30;740,54;267,26;2.398,68;2.665,94;2,11 %
 2.2.3 ; 92417 ;SINAPI;MONTAGEM E DESMONTAGEM DE FÔRMA DE PILARES RETANGULARES E ESTRUTURAS SIMILARES, PÉ-DIREITO DUPLO, EM CHAPA DE MADEIRA COMPENSADA RESINADA, 2 UTILIZAÇÕES. AF_09/2020;m²;68,7;205,04;73,34;131,70;205,04;5.038,45;9.047,79;14.086,24;11,13 %
 2.3 ;;;Lajes;;;;;;;;;7.200,12;5,69 %
 2.3.1 ; 92769 ;SINAPI;ARMAÇÃO DE LAJE DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_06/2022;KG;160,2;15,36;2,43;12,93;15,36;389,28;2.071,39;2.460,67;1,94 %
 2.3.2 ; 94965 ;SINAPI;CONCRETO FCK = 25MPA, TRAÇO 1:2,3:2,7 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021;m³;6,4;740,54;74,24;666,30;740,54;475,13;4.264,32;4.739,45;3,75 %
 3 ;;;Pavimento Superior;;;;;;;;;30.819,39;24,35 %
 3.1 ;;;Vigas;;;;;;;;;11.156,98;8,82 %
 3.1.1 ; 92761 ;SINAPI;ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 8,0 MM - MONTAGEM. AF_06/2022;KG;282,1;15,05;1,94;13,11;15,05;547,27;3.698,33;4.245,60;3,36 %
 3.1.2 ; 96533 ;SINAPI;FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA VIGA BALDRAME, EM MADEIRA SERRADA, E=25 MM, 2 UTILIZAÇÕES. AF_01/2024;m²;74,3;93,02;42,37;50,65;93,02;3.148,09;3.763,29;6.911,38;5,46 %
 3.2 ; 94965 ;SINAPI;CONCRETO FCK = 25MPA, TRAÇO 1:2,3:2,7 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021;m³;4,5;740,54;74,24;666,30;740,54;334,08;2.998,35;3.332,43;2,63 %
 3.3 ;;;Pilares;;;;;;;;;2.147,56;1,70 %
 3.3.1 ; 94965 ;SINAPI;CONCRETO FCK = 25MPA, TRAÇO 1:2,3:2,7 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021;m³;2,9;740,54;74,24;666,30;740,54;215,29;1.932,27;2.147,56;1,70 %
 3.4 ; 92763 ;SINAPI;ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 12,5 MM - MONTAGEM. AF_06/2022;KG;252,8;11,33;0,80;10,53;11,33;202,24;2.661,98;2.864,22;2,26 %
 3.5 ; 92417 ;SINAPI;MONTAGEM E DESMONTAGEM DE FÔRMA DE PILARES RETANGULARES E ESTRUTURAS SIMILARES, PÉ-DIREITO DUPLO, EM CHAPA DE MADEIRA COMPENSADA RESINADA, 2 UTILIZAÇÕES. AF_09/2020;m²;55,2;205,04;73,34;131,70;205,04;4.048,36;7.269,84;11.318,20;8,94 %
;;;;;;;;;Totais ->;32.699,02;93.845,16;126.544,18;
;;;;;;;;;;;;;
;;;;;;;;;Total sem BDI;;126.544,18;;
;;;;;;;;;Total do BDI;;0,00;;
;;;;;;;;;Total Geral;;126.544,18;;
;;;;;;;;;;;;;
"_______________________________________________________________
Rodrigo Ryzen
Setor de Engenharia";;;;;;;;;;;;;
